,I2HospitalRate_range,E2Irate_range,I2Rrate_range,delay_from_hospital_to_I_range,Beta_coeff_summer_range,winter_coeff_range,Beta_coeff_manual_setting_range,indFirstValidRow_range,indFirstAvailData_range,indLastAvailData_range,indLastValidRow_range,lower___for_sample_weights_range,upper___for_sample_weights_range,N0_range,S0_range,x0_range,n0_range,epsil_range
86,0.07,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
87,0.07,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
88,0.07,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
89,0.07,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
90,0.07,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
91,0.07,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
92,0.07,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
93,0.07,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
94,0.07,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
95,0.07,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
96,0.07,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
97,0.07,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
98,0.07,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
99,0.07,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
100,0.07,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
101,0.07,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
102,0.07,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
103,0.07,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
104,0.07,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
105,0.07,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
106,0.07,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
107,0.07,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
108,0.09,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
109,0.09,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
110,0.09,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
111,0.09,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
112,0.09,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
113,0.09,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
